,Name,Display,Memory,Camera,Original_Price,Discounted_Price,Off_Upto
205,"OnePlus Nord 5 5G (Dry Ice, 256 GB)",17.35 cm (6.83 inch) Full HD+ AMOLED Display,8 GB RAM | 256 GB ROM,50MP + 50MP + 8MP | 50MP Front Camera,"₹34,999","₹33,908",3% off
206,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",15.75 cm (6.2 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 12MP | 12MP Front Camera,"₹74,999","₹40,999",45% off
207,"MOTOROLA Edge 70 (PANTONE Bronze Green, 256 GB)",17.02 cm (6.7 inch) Display,8 GB RAM | 256 GB ROM,50MP + 50MP | 50MP Front Camera,"₹34,999","₹29,999",14% off
208,"POCO M7 Pro 5G (Lavender Frost, 128 GB)",16.94 cm (6.67 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,50MP + 2MP | 20MP Front Camera,"₹18,999","₹12,999",31% off
209,"realme C71 (Obsidian Black, 128 GB)",17.14 cm (6.75 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,13MP Rear Camera | 5MP Front Camera,"₹10,999","₹9,699",11% off
210,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹13,999","₹8,499",39% off
211,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",16.76 cm (6.6 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 5MP | 13MP Front Camera,"₹33,999","₹18,499",45% off
212,"Nothing Phone (3a) Pro (Black, 256 GB)",43.66 cm (17.19 cm) Full HD+ Display,8 GB RAM | 256 GB ROM,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera,"₹34,999","₹30,999",11% off
213,"Nothing Phone (3a) Pro (Grey, 128 GB)",43.66 cm (17.19 cm) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera,"₹32,999","₹28,999",12% off
214,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",17.02 cm (6.7 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹16,999","₹9,999",41% off
215,Kechaoda K115,3.66 cm (1.44 inch) QVGA Display,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP + 0.5MP | 0MP Front Camera,"₹1,499",₹973,35% off
216,"Samsung Galaxy F07 (Green, 64 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,"₹9,999","₹6,799",32% off
217,"MOTOROLA Edge 70 (PANTONE Lily Pad, 256 GB)",17.02 cm (6.7 inch) Display,8 GB RAM | 256 GB ROM,50MP + 50MP | 50MP Front Camera,"₹34,999","₹29,999",14% off
